MatchId,iId,iStartFrame,iEndFrame
884094,2,1879962,1952478
884094,3,0,0
884094,4,0,0
888004,1,1777199,1847809
888004,2,1871261,1945642
888004,3,0,0
888004,4,0,0
888005,1,1768227,1838996
888005,2,1861278,1931931
888005,3,0,0
888005,4,0,0
888007,1,1777949,1851578
888007,2,1872543,1949713
888007,3,0,0
888007,4,0,0
888008,1,1777276,1846441
888008,2,1871087,1945646
888008,3,0,0
888008,4,0,0
889790,1,1778853,1848228
889790,2,1873571,1948026
889790,3,0,0
889790,4,0,0
889791,1,1800282,1869562
889791,2,1894735,1968538
889791,3,0,0
889791,4,0,0
889793,1,1777516,1848074
889793,2,1872121,1946755
889793,3,0,0
889793,4,0,0
889797,1,1777759,1848962
889797,2,1872750,1947100
889797,3,0,0
889797,4,0,0
893541,1,1782570,1851694
893541,2,1874957,1948285
893541,3,0,0
893541,4,0,0
893542,1,1800504,1871188
893542,2,1893956,1967145
893542,3,0,0
893542,4,0,0
893544,1,1778588,1849244
893544,2,1872658,1946505
893544,3,0,0
893544,4,0,0
897723,1,1799890,1873550
897723,2,1896262,1971122
897723,3,0,0
897723,4,0,0
897724,1,1777835,1847027
897724,2,1869737,1943398
897724,3,0,0
897724,4,0,0
897725,1,1777596,1846805
897725,2,1871396,1944245
897725,3,0,0
897725,4,0,0
897726,1,1800252,1869451
897726,2,1894178,1968211
897726,3,0,0
897726,4,0,0
905224,1,1486594,1557096
905224,2,1579906,1654020
905224,3,0,0
905224,4,0,0
948586,1,1710994,1781473
948586,2,1806860,1888312
948586,3,0,0
948586,4,0,0
884070,1,1890708,1961829
884070,2,1984311,2061247
884070,3,0,0
884070,4,0,0
891106,1,1879638,1947241
891106,2,1971840,2043760
891106,3,0,0
891106,4,0,0
901532,1,1808357,1877440
901532,2,1902369,1977088
901532,3,0,0
901532,4,0,0
897591,1,1128231,1195889
897591,2,1219418,1294223
897591,3,0,0
897591,4,0,0
904260,1,1351279,1421925
904260,2,1445461,1518932
904260,3,0,0
904260,4,0,0
907409,1,1125712,1194780
907409,2,1220159,1290665
907409,3,0,0
907409,4,0,0
887999,1,1776689,1847854
887999,2,1872483,1946232
887999,3,0,0
887999,4,0,0
888000,1,1777725,1845310
888000,2,1868463,1942835
888000,3,0,0
888000,4,0,0
888003,1,1801461,1873690
888003,2,1897209,1967756
888003,3,0,0
888003,4,0,0
945591,1,1779827,1847396
945591,2,1870157,1937795
945591,3,0,0
945591,4,0,0
884058,1,1781465,1849134
884058,2,1872806,1941794
884058,3,0,0
884058,4,0,0
925077,1,1779180,1848241
925077,2,1869781,1948374
925077,3,0,0
925077,4,0,0
925091,1,1352091,1419871
925091,2,1442015,1514004
925091,3,0,0
925091,4,0,0
925095,1,1350775,1419912
925095,2,1442705,1516319
925095,3,0,0
925095,4,0,0
925124,1,1351435,1418970
925124,2,1441958,1513148
